txt,category
"<Sender>:#ZHAO YINJIE#. <Title>:Confirmation: MLDA Multi-modal LearningWorkshopTue 11:04 AM. <Content>:Dear Yinjie Test, Thank you very much for registering for MLDA workshop with the following information: Name: Yinjie Test, Email: yzhao025@e.ntu.edu.sg, Institute: EEE Y4, Workshop information: Multi-modal Learning: Feb 8th 4-5:30pm (GMT+8)",Confirmation Email
"<Sender>:AnimeWorks NTU VAS. <Title>:VAS session 1/2Tue 12:59 AM. <Content>:Forwarded message - From: AnimeWorks NTU VAS <ntuvasanimeworks@gmail.com> Date: Tue, 31 Jan 2023 at 00:56 Subject: VAS session 1/2 To: AnimeWorks NTU VAS <ntuvasanimeworks@gmail.com> Hi all again, don't forget this week we",Event Reminder.
"<Sender>:Hootsuite. <Title>:Action Required: Your Free plan is going away for goodMon 8:03 PM. <Content>:24-hour extension! For just $1.33 a day, get your upgrade. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌",Marketing Email.
"<Sender>:Tommy Ng. <Title>:ATTENTION!!! - Cast Your Resume Wide at NTU Virtual Career Fair 2023 (THE ONLY ANNUAL MEGA RECRUITMENT EVENT) Mon 7:17 PM. <Content>:Dear Final Year EEE & IEM Students (Graduate June 2023), Be more aggressive in job and career searching. Ready, Set, Go! CAST YOUR FISH NET WIDE for iFAIR … WIDER >>> WIDEST to GRASP AS MANY INTERVIEWING OPPORTUNITIES AS POSSIBLE There is 3",Others
"<Sender>:#ADITYA SIVADAS#. <Title>:Joining MLDA@EEE as an UndergraduateMon 3:12 PM. <Content>:Good morning/afternoon, I am a year 1 EEE undergraduate student interested in Machine Learning and Data Science and was wondering if there is any way I can join the MLDA society at EEE. Is there an application/registration window? Thank you for taking",Others
"<Sender>:EEE Students Office; Lee-Tan Lee Hiang, Clara. <Title>:Reminder: Update: EEE Day AY2022-23 Semester 2 - Come and Meet Your MentorMon 2:59 PM. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM] Dear EEE/IEM Students, EEE Day 2022 is here! Come and join us for a day filled with food, drinks and get to meet new friends. This is an event exc",Others
"<Sender>:#SHAH ATHARWA#; Technocruise IIT Kanpur. <Title>:For Association of Nanyang Technological University with Technocruise IIT KanpurMon 2:18 PM. <Content>:Hi Harshul, I am Atharwa Shah, the Chief Corporate Liasion Officer of the Machine Learning and Data Analytics Club (MLDA@EEE) at NTU. I have discussed about your event with MLDA President and we would like to know more about the event. Is it possible to",Others
"<Sender>:RE-Admin. <Title>:[Registration] Livestreaming Workshop by Hall 9Mon 11:08 AM. <Content>:Dear REsidents, Are you interested in learning a practical and refreshing tool that can help in brand-building in the social media arena? We bring to you the hands-on Livestreaming workshop taught by a professional with broad experience in marketin",Others
"<Sender>:EEE Students Office. <Title>:Join the IMDA SG Digital Young Leaders Programme!Mon 10:57 AM. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM.] Get opportunities to develop future-ready skills and connect with a network of industry leaders. Dear all EEE/IEM Students, IMDA is looking fo",[Events]
"<Sender>:RE-Admin. <Title>:[Registration] Paper Quilling by Hall 5Mon 10:47 AM. <Content>:Dear REsidents, Hall 5 Paper quilling sessions are back! We will be conducting two sessions for this semester. Quilling is an art form that involves the use of strips of paper that are rolled, shaped, and glued together to create decorative designs. Th",Events
"<Sender>:Director, Student Affairs. <Title>:Join X Campus Run (3 February) For a Good CauseMon 10:21 AM. <Content>:Dear Students NTU Runners’ Club is pleased to announce the return of their annual flagship event, X Campus Run, after a 3-year hiatus! This year, NTU Runners’ Club is partnering with NTU’s University Advancement Office (UAO) to co-organise X C",[Events]
"<Sender>:EEE Students Office. <Title>:Calling all EEE/IEM Student: Freshmen: Xperience@EEE Escape Room Challenge is open!!!Mon 10:06 AM. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM Year] Hello EEE/IEM students👋 Get ready to SEARCH, EXPLORE, and ESCAPE from Xperience@EEE Escape Room. Xperience@EEE is at S2.2-B3-09. Have fun with yo",[Events]
"<Sender>:EEE Undergraduate Studies. <Title>:[Compulsory Submission] Graduation Requirement Checklist (AY2022S2)Mon 10:04 AM. <Content>:Dear Prospective Graduating Students (EEE & IEM) If you are not graduating at the end of this semester, you can ignore this email. Since the Add/Drop Period ended on 20th January, we would like to inform students graduating at the end of AY2022 Seme",[Academic]
"<Sender>:Institute of Advanced Studies - Events. <Title>:[Gentle Reminder] 50 Years of Physics in Singapore: A Symposium in Celebration of Professor K K Phua (3 Feb 2023, Friday, Nanyang Executive Centre) Mon 9:10 AM. <Content>:Dear All, A gentle reminder about the upcoming event - 50 Years of Physics in Singapore: A Symposium in Celebration of Professor K K Phua. Please ignore the email if you’ve already registered. The Academic Turned Entrepreneur T",Events
"<Sender>:do-not-reply@blackboard.com. <Title>:Daily NotificationsMon 5:14 AM. <Content>:Your updates Assignments Homework 1 due soon: Friday, February 10, 2023 11:59:00 PM SGT IE4497-PATTERN RECOGNITION & DEEP LEARNING (LEC) (22S2-IE4497-C-LEC-) Email brought to you by Want to change how you receive these emails? Manage your notifica",[Academic]
"<Sender>:Yohanes Eko Riyanto (Prof). <Title>:Participate in Paid Economic StudiesSun 10:53 AM. <Content>:Dear Students, I have a series of paid studies to run next week. I would like to invite you to participate, where you will be making decisions on the computer using a standard keyboard and mouse. The experiment will last for approximately 120 minute",
"<Sender>:CAO Internship. <Title>:[NTUCAO] Apply Now! Your Career with A*STAR Starts Here - AGS and ACIS ScholarshipsSat 28/1. <Content>:Dear students, If you are interested in a career in research, please see below eDM on A*STAR Graduate Scholarship (AGS) and A*STAR Computing & Information Science Scholarship (ACIS). Please take note that application deadline is 1 February 2023. A* STA",
"<Sender>:Zoom. <Title>:Rashna Ahmed has joined your meeting - Zhao Yinjie's Zoom MeetingSat 28/1. <Content>:Hi Zhao Yinjie, Rashna Ahmed has joined your meeting: Topic Zhao Yinjie's Zoom Meeting Meeting ID 821 8124 0528 Start Meeting Thank you for choosing Zoom. -The Zoom Team Copyright ©2023 Zoom Video Communications, Inc. All rights re",
"<Sender>:MLDA-EEE. <Title>:[WORKSHOP] Practical Object Detection and Tracking with YOLOSORTSat 28/1. <Content>:Dear students, You are invited to Practical Object Detection and Tracking with YOLOSORT Workshop by MLDA@EEE! Workshop details: Date: 30/01/2023 Time: 7:00 – 8:30 pm Venue: Zoom Content: Learn more about practical object",
"<Sender>:Wesley Tan Chee Wah (Dr); Leong, Valerie; Karen Lek Hwee Boon; Ji, Cheng. <Title>:AWS X MLDA Workshops ThreadFri 27/1. <Content>:Thank you for your understanding, Valerie. And thank you Yinjie for taking charge. Best regards, Wesley From: #ZHAO YINJIE# <YZHAO025@e.ntu.edu.sg> Sent: Friday, 27 January 2023 11:10 PM To: Leong, Valerie <vlleong@amazon.com>; Wesley Tan Chee",
"<Sender>:do-not-reply@blackboard.com. <Title>:Submission receivedFri 27/1. <Content>:Your work was received! You successfully submitted your coursework. Each time you submit coursework, you receive a unique confirmation ID to verify when your submission was received. You can view your submission on your My Grades page. Submission de",
<Sender>:Hootsuite. <Title>:Special offer ends tonight. Only $1.33 per day—grab nowFri 27/1. <Content>:Your Free plan is going away soon—don’t get left behind. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,
"<Sender>:Assoc Prof EEE Tay Wee Peng - wptay@ntu.edu.sg. <Title>:IE4497-PATTERN RECOGNITION &‌ DEEP LEARNING (LEC): ReviewFri 27/1. <Content>:Dear friends, I understand some of you may have difficulties with concepts in this course. To help you to be more comfortable, I will be conducting an optional review session on 30 Jan 5pm via Teams. The questions are posted in NTULearn/Content/Reviews",
"<Sender>:CAO Mentorship. <Title>:🤝 Network & Learn from our Alumni/ Mentors in February! | by Career & Attachment Office Fri 27/1. <Content>:(This email is sent to selected students) Hi, Are you feeling uncertain about your career and looking for a mentor who can help you navigate the future? Many of us have felt that way in our lives, and we are happy to report that we have some exciti",
"<Sender>:CAO Overseas Internship. <Title>:Career opportunity in a Japanese company (ASEAN CAREER FAIR with JAPAN 2023)Fri 27/1. <Content>:Dear NTU students, For the students who are interested in pursuing a career in a Japanese company, we have some good news for you! NTU students have been invited to attend ASEAN Career Fair with JAPAN 2023 (ACF 2023) that will be held on February 11",
<Sender>:CAO Overseas Internship. <Title>:PASONA: Recruitment Talks ~Start Your Career in Japan~Fri 27/1. <Content>:Register NOW: https://forms.office.com/r/s1TrRGSeNh Brought to you by CAO Overseas Internship Team,
"<Sender>:Chen Weilun Edwin. <Title>:Upcoming Events and Job Opportunities for Students (Engineering & Manufacturing Sector)Fri 27/1. <Content>:Dear Students, Please refer to below for upcoming events and employment opportunities from the Engineering & Manufacturing sector. Summary of Events (Please view more details via the Event Link below) S/N Company Event Mode Date and Time Event L",
"<Sender>:Office of Academic Services. <Title>:Check on final courses registered - Semester 2, AY2022-23Fri 27/1. <Content>:Dear Student Please check and confirm your final registered courses in Semester 2, AY2022-23 via your Degree Audit (under View Course Timetable). You are reminded to print your class timetable and/or check for your outstanding AUs from there, and to",
"<Sender>:Nurdiana MOHD SINARI (SCB); #VERONICA TAN YUN QI#. <Title>:Regarding NSC collaboration with MLDA@EEEFri 27/1. <Content>:Dear Yinjie, Happy Lunar New Year to you! Attached is the partner’s deck. Unfortunately, more details will be given after 1st February. Hope this helps your team to roughly have an idea of which phase and what kind of involvement each phase will be",
"<Sender>:CAO Student Career Services. <Title>:New Year, New SkillsFri 27/1. <Content>:Dear Students, The new year has arrived and there’s no better time than now to kickstart your career preparation journey by picking up new skills for the year ahead! Navigate your internship/job search and network with recruiters at NTU Career Fair in",
<Sender>:SFIR8. <Title>:Hall of Residence VIII February Events Timeline Fri 27/1. <Content>:Hey Eighters! 1 Hope all of you had a good break over the Chinese New Year Holiday! We have a month of exciting events lined up for you and we can’t wait for you to join in the fun 🤩 Event Line-Up for the Month of February 2023,
"<Sender>:Lim Chew Mei, May. <Title>:NTU Open House 2023 - 25 February 2023Fri 27/1. <Content>:Dear Yinjie Can I check whether you receive my previous email? Please reply me to acknowledge my request as well as letting me know regarding the plan in MLDA. Thanks. Regards May Lim From: Lim Chew Mei, May Sent: Thursday, 19 January 2023",
"<Sender>:oas@ntu.edu.sg. <Title>:COURSE(S) REGISTERED - SEMESTER 2, AY2022-23Fri 27/1. <Content>:For further enquiries, please write directly to regn_course@ntu.edu.sg so that we can respond to your enquiries promptly. Please DO NOT reply directly to this email or send email to the above account. Name ZHAO YINJIE Matric U1923610E Programme",
"<Sender>:AI Singapore. <Title>:AI FOR INDUSTRY® - Literacy In AI e-certificate from AI SingaporeFri 27/1. <Content>:Dear Zhao Yinjie, Congratulations on your attainment of AI FOR INDUSTRY® - Literacy In AI ! You have successfully completed AI for Industry™ - Literacy in AI. Please click “view my certificate” below to download your certificate. You may now",
"<Sender>:AI Singapore. <Title>:[AI Singapore] Congratulations on your course completion! You have been awarded a coupon!Fri 27/1. <Content>:Dear Zhao Yinjie, Congratulations on completing AI4I® – Literacy in AI! We’re thrilled to offer you a special discount on our AI4I® – Foundations in AI course. Please use the promotional code below at the checkout to activate your 5% discount: C",
"<Sender>:AI Singapore. <Title>:[AI Singapore] Welcome to LearnAI, Zhao Yinjie!Fri 27/1. <Content>:Dear Zhao Yinjie, Welcome to LearnAI! You can now access to our featured courses on our website such as * AI4I® – Literacy in AI * AI for Kids (AI4K)® Grade 1 * AI4I® – Foundations in AI * AI for Everyone (AI4E)®",
"<Sender>:Associate Chair-Electrical & Electronic Engineering (Students). <Title>:Opening in Continental - High Speed / EMC SimulationFri 27/1. <Content>:Dear Final Year Students FYI please. Best Regards Pauline Tan for Associate Chair (Students) From: See Kye Yak (Assoc Prof) <EKYSEE@ntu.edu.sg> Sent: Thursday, January 26, 2023 7:38 PM To: Ng Beng Koon (Assoc Prof) <EBKNg@ntu.edu.sg> C",
"<Sender>:Alibaba-NTU. <Title>:Seeking Research Assistant position at Alibaba JRIFri 27/1. <Content>:Dear Yinjie, I see. We'll discuss this with Prof Yu. Please wait for several days. Best regards Alibaba-NTU Singapore JRI",
"<Sender>:CAO Student Career Services. <Title>:Register for On-site Coaching for NTU Career Fair 2023Fri 27/1. <Content>:Hi Students, Back by popular demand, we are bringing back On-site Coaching Services throughout the 3 days of Career Fair, between 11am – 2pm. Get a chance to speak to our Career Coaches to address any career, resume or interview concerns that yo",
"<Sender>:Shermin Choong Jie Yi. <Title>:Invitation to apply for the EEE Research Apprentice Programme (RAP)Fri 27/1. <Content>:Dear EEE UG and MSc Students, A gentle reminder to submit your application to join the EEE Research Apprentice Programme (RAP) by today via this link. Thank you. Best regards, Shermin On behalf of The EEE RAP Committee Note: This messa",
<Sender>:Deputy Associate Provost (Student Wellbeing). <Title>:Discovery Talk Series for February 2023 - Open for RegistrationFri 27/1. <Content>:No preview is available.,
"<Sender>:EEE Students Office. <Title>:Request to email blast to engineering schools. Fri 27/1. <Content>:[Recipients of this email are placed in the Bcc field. This email is intended for all EEE/IEM students.] Dear Student ASME-NTU SS proudly presents, Solid Edge Workshop by Siemens and ASME-NTU SS 2023 Ever wondered how to create 3D mode",
"<Sender>:EEE Students Office. <Title>:Recruitment for Research Project (Resilient and Livable Cities Lab)Fri 27/1. <Content>:Dear Students Reference to the below-mentioned email, apply if you are interested.",
"<Sender>:do-not-reply@blackboard.com. <Title>:Daily NotificationsFri 27/1. <Content>:Your updates Assignments RA 1 due soon: Friday, January 27, 2023 11:59:00 PM SGT IE4497-PATTERN RECOGNITION & DEEP LEARNING (LEC) (22S2-IE4497-C-LEC-) Email brought to you by Want to change how you receive these emails? Manage your notification se",
<Sender>:NVIDIA Developer Relations. <Title>:Your Personalized Developer News from NVIDIAFri 27/1. <Content>:Read the latest news for developers NVIDIA GTC registration is now open with 650+ sessions. Register Free > > TOP STORIES FOR YOU NVIDIA Grace CPU Superchip Architecture In Depth NVIDIA Grace CPU is the first data center CPU de,
"<Sender>:HP Talent Acquisition. <Title>:Explore exciting new opportunities at HPFri 27/1. <Content>:Hi Yinjie, It's an exciting time to be a part of HP, and there are many opportunities available. We think you'll be interested in: College Intern - Ink Manufacturing Data Analytics If you want to learn what's new, explore what's possibl",
"<Sender>:Brandwatch. <Title>:[Webinar] How to Succeed with Influencer Marketing in 2023Thu 26/1. <Content>:Save your seat now View in browser How to Succeed with Influencer Marketing in 2023 January 31 | 11.00am EDT | 16:00 GMT | 17:00 CET Join our webinar to learn why your brand should look into influencer marketing, upcoming trends, how marke",
"<Sender>:Tommy Ng. <Title>:(1) Handle & Review Job Offer (2) InterviewFITNESS (3) ResumeFITNESSThu 26/1. <Content>:Dear Final Year EEE & IEM Students, Get prepared for an economic slowdown. Get ready for competitive job searching Tommy’s career services and support to Final Year EEE & IEM Students will cease on 30 June 2023 Upcoming CareerFairs 2023 falls on",
<Sender>:Hootsuite. <Title>:Your Free plan is going away on March 31Thu 26/1. <Content>:Upgrade for just $1.33 a day (limited time offer). ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,
"<Sender>:Karen Lek Hwee Boon. <Title>:Budget Proposal for FY23/23Thu 26/1. <Content>:Dear Yinjie Please put up the budget proposal for MLDA from 1 April 23 to 31 March 24 using the template attached. Then, please revert to me by 2 February 2023. Thank you. Please do not hesitate to contact me if you have any further enquiries. Tha",
"<Sender>:Ivan Choong. <Title>:NTU launch its inaugural Management Associate Programme (MAP)Thu 26/1. <Content>:Dear final year students In a couple of months’ time, you will be graduating from NTU and embarking into the working world. While some of you have secured a job and the rest are still trying to find your niche, there is no restriction to what you can d",
"<Sender>:JOB-BLAST. <Title>:Define Your Career Path at Largest Recruitment Fair of the Academic Year – By Career & Attachment Office (CAO)Thu 26/1. <Content>:Highlights of the week: Graduate Opportunities Internship Opportunities Career Activities Consultation Booking Industry Interest Groups For more career opportunities from various industries, please access Career Axis. De",
"<Sender>:#NTU STUDENTS' UNION#. <Title>:[Event] NTU Sports Club: Surf N Sweat– Don’t Miss Out on a Weekend of Fun!Thu 26/1. <Content>:[Event] NTU Sports Club: Surf N Sweat 2023– Don’t Miss Out on a Weekend of Fun! Surf N Sweat, a flagship event of NTU Sports Club, is back in full force! Don’t miss a weekend of intense fun at the beach event of the year! Invite your friends an",
"<Sender>:Associate Provost (Undergraduate Education). <Title>:Free help with your written assignments, presentations, and job/internship applicationsThu 26/1. <Content>:Sending on behalf of LCC Communication Cube, please address all enquiries to CommCube@ntu.edu.sg Dear NTU undergraduates, You can get free help with your written assignments, presentations, résumés, job or scholarship applications, sponsorship emai",
<Sender>:NVIDIA. <Title>:Now available: free trial of NVIDIA Merlin Transformers4RecThu 26/1. <Content>:Learn how to predict a users' next interactions and solve cold-start problems with Merlin Transformers4Rec. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌,
