txt,category
<Uploader>:Pyongyang slams plans by Washington and Seoul to expand joint drills in region. <Description>:North Korea has threatened the “toughest reaction” against military moves by the US and South Korea. Authorities in Pyongyang say joint drills by Washington and Seoul this week were reaching the “extreme red-line”. The warning comes amid lingering expectations that the North is ready to conduct its first nuclear tes,
"<Uploader>:US expands military deal with Philippines. <Description>:US Defense Secretary Lloyd Austin’s visit to Asia has concluded with an expansion of a military deal with longtime ally, the Philippines. He met Philippine President Ferdinand Marcos Jr., with both reaffirming commitment to the rule of law and their “ironclad” military alliance. ",
"<Uploader>:Debate on Adani issue gets rejected in Indian parliament, causes uproar. <Description>:The turmoil surrounding India's Adani Group has taken a decidedly political turn, with the opposition demanding a government response on the issue during an uproarious session of parliament. An opposition request for a debate on how the market rout at Adani was endangering the earnings of millions of Indians was reje",
<Uploader>:Indonesia to kick off ASEAN chairmanship with political crisis in Myanmar as priority. <Description>:,
"<Uploader>:Taiwanese, Japanese firms in Myanmar staying put despite political unrest. <Description>:Investors had piled into Myanmar after the military eased its iron grip a decade ago, paving the way for democratic and economic reforms. However, the firms’ fortunes suffered a dramatic turn for the worst after junta leader Min Aung Hlaing and his military seized power. CNA's Michiyo Ishida and Victoria Jen reports. ",
"<Uploader>:2 years on, Myanmar coup impact ‘devastating’: UN special envoy. <Description>:Two years after a military coup in Myanmar, the effects on the country and its people have been daunting. A planned election later this year could plunge the nation into further violence. United Nations special envoy on Myanmar Noeleen Heyzer tells CNA’s Leong Wai Kit of her plans to rally members of the Association ",
"<Uploader>:18-year-old detained under ISA intended to attack targets in Singapore: Shanmugam. <Description>:18-year-old Singaporean student Muhammad Irfan Danyal Mohamad Nor has been detained under the Internal Security Act (ISA) after he made plans to attack targets in Singapore, including an army camp and a gravesite at a mosque.",
"<Uploader>:Myanmar’s extended state of emergency reflects decline in junta’s ability to control country. <Description>:Myanmar's junta extended the country's state of emergency by another six months on Feb 1. The situation in the country is a human rights catastrophe, and there has to be a coordinated global response to support the people of Myanmar, Mr Tom Andrews, the UN Special Rapporteur for Human Rights in Myanmar, tells CNA’s ",
"<Uploader>:Big disconnect between markets and the US Fed on timing of interest rate cuts. <Description>:A mismatch between the United States Federal Reserve's firm stance on stamping out inflation and the market expectations for elevated interest rates to be cut later this year could make it harder for the central bank to do its job, Dr Sam Chandan, professor of finance at the NYU Stern School of Business, tells CNA’s Asia First.",
"<Uploader>:The last Boeing 747 takes flight, marking end of jumbo jet era. <Description>:Boeing bid farewell to the iconic 747, sending the final plane for client Atlas Air into the skies on Wednesday (Feb 1), marking the end of an era for the ""Queen of the Skies"". Scores of spectators gathered at Paine Field in Everett, Washington to witness the aircraft taxi through a water cannon salute before it took off.",
"<Uploader>:5 million hawker meals to be subsidised for seniors. <Description>:A new initiative aims to keep hawker stalls afloat amid rising costs, by subsidising five million meals this year. But there is a catch - seniors will have to learn how to pay without cash. Every Friday, the first 100,000 customers to use e-payment service PayLah! at 12,000 hawker stalls will get S$3 off their meal. It is an initiative by ",
"<Uploader>:High-element outdoor activities return after 2-year break. <Description>:Schools can now restart height-based activities, like rock climbing and abseiling, with more stringent safety measures. Education Minister Chan Chun Sing was at an adventure centre in Lim Chu Kang for the resumption. Such activities were suspended for two years after a 15-year-old boy died while on a high-element co",
<Uploader>:Caregiving needs: More training tools for migrant domestic workers amid ageing population. <Description>:Migrant domestic workers and their employers will soon have more ways to learn caregiving skills amid an ageing population. The Association of Employment Agencies inked two deals with a training provider and a virtual platform developer to create courses and games. ,
"<Uploader>:Digital healthcare group WhiteCoat opens regional headquarters in Singapore. <Description>:COVID-19 telehealth provider WhiteCoat saw its revenue triple on-year in 2022 and the start-up is now seeking profitability. It laid out its expansion plans with the opening of its new headquarters on Feb 1, seeking to serve all healthcare needs, not only in Singapore but across the region also.",
"<Uploader>:Open communication with youths key to preventing radicalisation: Expert. <Description>:A teenager has been detained for planning attacks in Singapore. The self-radicalised student also wanted to establish a caliphate here. A terrorism expert says open communication with youths, within families and the community, is an integral part in preventing radicalisation. This is especially the case when access to ",
"<Uploader>:Singapore explores digital partnership with European Free Trade Association. <Description>:Singapore is looking to deepen its digital partnerships with countries that are not in the European Union. These include markets like Switzerland, Norway and Iceland. For now, the focus in on the digital agreement signed between Singapore and the European Union. It will allow businesses on both sides to save costs with ",
"<Uploader>:Enterprise Singapore helped 2,000 firms go global in 2022. <Description>:Singapore firms are set to create about 24,000 skilled jobs and give a S$17.8 billion boost to the economy. This is with the help companies received from Enterprise Singapore last year. The agency wants to ramp up efforts in getting firms to go global and become more green. Last year, it supported 2,000 firms in going global,",
<Uploader>:EMA proposes new capital and hedging requirements for electricity retailers. <Description>:New measures are being proposed to better prepare electricity retailers for price volatility and protect consumers if they go bust. These companies may be required to have a paid-up capital or tangible net worth of at least S$1 million and compensate consumers if they exit the market or end contracts early. The Energy Market ,
"<Uploader>:18-year-old Singaporean detained under ISA. <Description>:An 18-year-old student in Singapore has been detained under the Internal Security Act (ISA), after he planned to carry out attacks in the country using a knife and bombs. Muhammad Irfan Danyal Mohamad Nor had been self-radicalised with Islamic State propaganda. Singapore authorities say he acted alone. Irfan was arrest",
"<Uploader>:Students sue UK universities for pandemic disruptions. <Description>:Thousands of students are attempting to sue British universities over the disruption to their curriculum, caused by the COVID-19 pandemic and strikes in the country. They are making a group action claim against at least 18 universities, on the basis that they did not receive the quality of teaching or access to facilities that th",
"<Uploader>:UK students demand compensation over disruption caused by COVID-19 pandemic, strikes. <Description>:Thousands of students are attempting to sue at least 18 British universities in a group action claim over disruption caused by the COVID-19 pandemic and strikes. They say they did not receive the quality of teaching or access to facilities they paid for.",
"<Uploader>:Residents in Thai village near border still feel uneasy as Myanmar crisis continues. <Description>:One afternoon in June 2022, a school in a small village in Thailand’s Tak Province went into panic when a fighter jet from Myanmar appeared overhead, violating Thai airspace. CNA visited the community that has been brought uncomfortably close to the conflict taking place just a short walk across the border in Myanmar.",
"<Uploader>:Experts hope Myanmar situation can be addressed by ASEAN under Indonesia's chairmanship. <Description>:It is not only the second anniversary of the Myanmar coup, this week will also see the first ASEAN meetings under Indonesia's chairmanship. The ASEAN Foreign Ministers' Retreat and related meetings will begin on Feb 3 ahead of a closed-door meeting on Feb 4. The Myanmar situation has proven to be bloc's biggest cha",
"<Uploader>:Half a million workers go on strike in UK over pay, working conditions. <Description>:Britain is dealing with the biggest strike in more than a decade, with schools shut and rail networks disrupted. Half a million workers plan to stage a walkout over pay and working conditions.",
"<Uploader>:India unveils budget with focus on economic growth, job creation. <Description>:India has unveiled the closely watched annual budget. It is the current government's last full budget before a general election which is due next year. Finance Minister Nirmala Sitharaman said the spending plan aims to create jobs and boost productivity to build on the country's position as the world's fastest growing m",
"<Uploader>:Silent strikes held across Myanmar on 2nd anniversary of military coup. <Description>:Silent strikes have been held across Myanmar on the second anniversary of a military coup that toppled Aung San Suu Kyi's government. For most of the day, roads and shops were largely deserted in Yangon and Mandalay. Activists had urged people to stay home to protest the army's power grab. Roads leading to Yangon's ",
"<Uploader>:Singapore firms hiring Myanmar nationals face extra paperwork, mounting regulations. <Description>:",
"<Uploader>:‘People won’t accept a sham election’: Myanmar's UN envoy on military junta’s planned election. <Description>:Myanmar's military regime has no legal authority, and its plans to seek legitimacy by having a national election is likely “a sham”, the country’s ambassador to the United Nations Kyaw Moe Tun tells CNA’s William Denselow. ",
"<Uploader>:How the Myanmar military coup has affected the Karen ethnic group. <Description>:The Karen, an ethnic group that lives on both sides of the Thai-Myanmar border, have been fighting for independence for decades.  With reports suggesting that fighting has intensified, CNA's Saksith Saiyasombut travels there to find out what the situation has been with the Karens.",
"<Uploader>:On board the USS Nimitz, one of the largest warships in the world. <Description>:CNA’s Leong Wai Kit gets a firsthand experience of being on US warship USS Nimitz, which docked in the South China Sea as part of its regular deployment to show America’s commitment to the Asia Pacific.",
"<Uploader>:Some classes at Nanyang Primary placed on home-based learning due to flu cases. <Description>:Some classes at Nanyang Primary School have been placed on home-based learning for two days after several reports of students falling sick. Doctors say they have also seen a rise in the number of children experiencing symptoms of fever, cold and cough.",
"<Uploader>:New glass recycling plant opens in Singapore. <Description>:Glass has one of the lowest recycling rates in Singapore - at around 13 per cent, after leather and plastic. But a new glass recycling plant is looking to change that. It will focus on breaking the material down into smaller beads. This is so that it can be used for other purposes, such as surface finishing and metal cleaning.",
<Uploader>:Companies in Singapore face challenges securing workers from Myanmar. <Description>:The military coup in Myanmar has made it increasingly difficult for workers there to find jobs in Singapore. Companies here that typically rely on manpower from Myanmar are facing mounting paperwork and daunting regulations to bring them in.,
"<Uploader>:Manufacturing firms remain pessimistic about next 6 months: Survey. <Description>:Manufacturing firms in Singapore are not too upbeat about the next six months. A survey on business expectations has found the mood to be worse than the previous quarter. Meanwhile, services firms are still buoyant about the future, but less so than the previous quarter. ",
"<Uploader>:IMF downgrades 2023 growth outlook for Singapore. <Description>:The International Monetary Fund (IMF) has downgraded its 2023 growth outlook for Singapore, as slower global growth could outweigh the positive impact from China's economic reopening. The IMF now expects the Singapore economy to grow by 1.5 per cent this year, down from its previous forecast of 2.3 per cent l",
"<Uploader>:Singapore's total employment grows for 5th consecutive quarter. <Description>:Singapore's total employment has grown for the fifth consecutive quarter, largely due to hiring in the construction industry. Unemployment rates have also fallen back to pre-pandemic levels as economic activities have picked up. But the Manpower Ministry also notes that quarterly retrenchments rose. CNA spoke to Barnabas ",
"<Uploader>:Myanmar conflict is existential threat to ASEAN community: Former Indonesian FM. <Description>:ASEAN foreign ministers will this week meet for the first time under the new chairmanship of Indonesia. CNA spoke to the country's former foreign minister Marty Natalegawa, who explained why the bloc has failed to make any headway in ending the violence in Myanmar. He said the ongoing conflict is now an existential thr",
"<Uploader>:Students fleeing from Myanmar look to Malaysia for educational opportunities. <Description>:Students in Myanmar are boycotting schools as a powerful way of protesting against the military coup. Thousands of students have also fled Myanmar to pursue their studies abroad in neighbouring countries. Many who arrived in Malaysia are eager to get back to school, but opportunities are limited.",
"<Uploader>:India to unveil budget on Feb 1. <Description>:After a tumultuous week facing off fraud accusations, the Adani Group can heave a sigh of relief as its flagship's share sale is fully subscribed. The Adani saga is roiling India's stock markets. Investors are looking to government spending to spark a rebound. Prime Minister Narendra Modi's government will present it",
<Uploader>:Myanmar invited to regional military forum co-chaired by US and Thailand. <Description>:The Myanmar military has been invited to take part in an ASEAN defence meeting co-chaired by the US and Thailand. This is despite bloc members struggling to deal with Myanmar after it failed to deliver on a plan to end violence in the country.,
<Uploader>:US seeks access to key Philippine military bases. <Description>:US Defense Secretary Lloyd Austin will hold talks with his Philippine counterpart and President Ferdinand Marcos Jr. in Manila during his trip to the Philippines. Top of Mr Austin's agenda will be securing expanded US military access to key bases in the archipelago. The move will give American forces a strategic position to m,
"<Uploader>:US, South Korea to step up joint drills to counter North Korea. <Description>:The United States and South Korea have vowed to step up joint military drills in the face of growing threats from North Korea. The two countries are set to hold nuclear tabletop exercises next month, simulating scenarios of an attack from Pyongyang. ",
"<Uploader>:NATO agrees to strengthen cooperation with Japan, citing global threats. <Description>:The head of NATO, Jens Stoltenberg, has wrapped up his four-day tour of Asia with strong words of support for Japan's decision to boost its defence capabilities. In a joint news briefing with Japanese Prime Minister Fumio Kishida in Tokyo, both leaders highlighted the importance of their security ties, citing a string of globa",
"<Uploader>:India's budget in focus as next general election looms. <Description>:The Indian government will be looking to rein in its spending in the upcoming annual budget, while keeping an eye on next year’s general election. Prime Minister Narendra Modi's government's plans for spending and revenue collection will be in focus as households and businesses grapple with high inflation and slowing econ",
"<Uploader>:US retailers harness power of technology innovations to engage with customers. <Description>:In-store shopping in the United States has returned post-pandemic, but the desire to buy things online remains. Industry players are going all out to innovate and woo customers. CNA’s William Denselow reports.",
"<Uploader>:International Monetary Fund raises 2023 global growth outlook. <Description>:The International Monetary Fund raised its 2023 global growth outlook on Tuesday (Jan 31) due to ""surprisingly resilient"" demand in the United States and Europe, an easing of energy costs, and the reopening of China's economy after Beijing abandoned its strict COVID-19 curbs. However, Singapore and other Southeast ",
"<Uploader>:NATO secretary-general's trip to Asia could boost military support for Ukraine. <Description>:Some European countries with a policy of not exporting weapons to nations in a conflict are bending those rules to support Ukraine in the ongoing war with Russia, and countries in Asia could do the same, American Enterprise Institute non-resident fellow Blake Herzinger told CNA's Asia First. ",
"<Uploader>:Venezuela returns to global oil stage, as US lifts sanctions amid world’s energy crunch. <Description>:Former United States president Donald Trump had imposed sanctions against Venezuelan president Nicolas Maduro in 2019, but Russia’s invasion of Ukraine has since shifted political priorities. The US has been pushed to reconsider its ties with oil producers like Venezuela and Saudi Arabia, to mitigate dependence on Rus",
"<Uploader>:New Punggol library opens with special features for children, people with disabilities. <Description>:Singapore's biggest public library has opened its doors at One Punggol. The Punggol Regional Library is the country's fourth regional library, and it aims to be the first fully inclusive one. Incorporated into its design are features like a wheelchair-friendly borrowing kiosk, and padded rooms for patrons who need a quiet, s",
"<Uploader>:National Silver Academy hopes to reach over 70,000 senior learners over next five years. <Description>:The National Silver Academy has been offering more than 1,000 courses for seniors, ranging from baking and farming to digital skills. It now wants to reach out to over 70,000 more people across the next five years. Ms Soh Swee Ping, CEO of Council for Third Age -- the organisation that runs the academy -- shared more abo",
"<Uploader>:NTUC asst sec-gen Patrick Tay on updated guidelines on fair employment practices. <Description>:Guidelines on fair employment practices in Singapore will be updated in mid-February to ensure that employees are not forced to support or attend events unrelated to work. Employees should also not be penalised for not doing so either, and they should be assessed for performance and promotions based only on work-rel",
"<Uploader>:Singapore, Malaysia Chinese chambers of commerce and industry ink deal to deepen collaboration. <Description>:Businesses in Singapore and Malaysia can look forward to more collaboration in areas like energy, sustainability and food security, as well as partnering one another to venture into the Southeast Asian market for growth opportunities. This comes under a deal inked between the Singapore Chinese Chamber of Commerce",
<Uploader>:Trade association SGTech submits recommendations to support sector for Budget 2023. <Description>:Providing cash rebates for small and medium-sized enterprises using technology to achieve sustainability goals. It's among nine recommendations to support Singapore's tech industry amid external risks. Trade association SGTech submitted the list to the Finance Ministry at a pre-Budget dialogue. There were also suggesti,
"<Uploader>:Mindset and policy shifts required to implement preventive care, successful ageing: Ong Ye Kung. <Description>:Health Minister Ong Ye Kung said very strong collaborative ground-up measures are needed when it comes to dealing with ageing. He is expecting more partners to come on board and more pilot programmes to be implemented as part of Singapore's 2023 Action Plan for Successful Ageing. He was speaking in a di",
"<Uploader>:Action plan for successful ageing: Two employment schemes for senior workers extended. <Description>:Singapore's 2023 Action Plan for Successful Ageing will look at ensuring employment opportunities for seniors. Two government grants will be extended for another two years. They offer salary subsidies and funding support to companies that hire senior workers. More than $450 million in wage offsets has been disbursed, al",
"<Uploader>:Action plan for successful ageing: Support for dementia patients, caregivers to be strengthened. <Description>:Under Singapore's 2023 Action Plan for Successful Ageing, the health ministry wants to improve dementia care in five key areas, including increasing prevention and awareness, as well as early diagnosis. The number of support teams for those who have just been diagnosed with dementia is set to go up to six from two by Marc",
"<Uploader>:Singapore launches 2023 action plan for successful ageing. <Description>:Singapore is refreshing its efforts to help seniors live life to the fullest. For instance, more active ageing centres will be set up and employment schemes will be extended. The 2023 Action Plan for Successful Ageing aims to address the evolving needs and aspirations of current and future seniors. It will focus on three areas: ",
"<Uploader>:Former Malaysian health minister Khairy Jamaluddin will not appeal UMNO dismissal. <Description>:Malaysia's former health minister Khairy Jamaluddin has said he will not appeal against his dismissal from his former party, UMNO. He is also considering contesting in the coming state election in Selangor. Mr Khairy was sacked on Friday for breaching party discipline during November's general election.",
"<Uploader>:South Korea pledges to continue providing support for Ukraine during NATO chief's visit. <Description>:South Korean President Yoon Suk-yeol has promised to continue providing support for the Ukrainian people. He met with NATO chief Jens Stoltenberg in Seoul today for talks on issues of common concern, including North Korea's nuclear programme. Mr Stoltenberg's two-day visit is part of NATO's efforts to deepen ties wit",
"<Uploader>:New Delhi offers new winter action plan as homeless people struggle through cold spell. <Description>:People in New Delhi are shivering through an intense cold spell. It's particularly tough for the homeless in the Indian capital. At night, the temperature can drop to as low as 1.4°C. Prime Minister Narendra Modi's ruling BJP said 162 homeless people died from the cold in December and January. The New Delhi state govern",
"<Uploader>:Indian opposition leader Rahul Gandhi ends five-month march across country. <Description>:India's main opposition leader Rahul Gandhi has ended his more than 3,500km march across the country. The rally aimed to challenge Prime Minister Narendra Modi and his ruling party, the BJP. Mr Gandhi's venture, which began in September, spanned the entire length of India. Mr Gandhi said he embarked on this march to",
"<Uploader>:South Korea lifts indoor mask-wearing mandate. <Description>:South Korea has dropped one of its last COVID-19 prevention measures, as the country continues to report few daily infections. People are no longer required to wear masks in most indoor places. The mask-wearing mandate that had been in place for more than two years. Wearing masks is still compulsory when using public ",
"<Uploader>:WHO maintains highest global alert level for COVID-19. <Description>:The World Health Organisation has reaffirmed its stance on COVID-19, maintaining its highest global alert level for the virus. It's been three years since the agency first declared the coronavirus a pandemic. But the WHO chief said the pandemic may be at a transition phase. Mr Tedros Adhanom Ghebreyesus added that, althou",
"<Uploader>:At least 32 killed, over 140 wounded in suicide bombing at mosque in Pakistan's Peshawar. <Description>:At least 32 people have been killed and more than 140 others wounded in a mosque blast in Pakistan. The blast took place in the Police Lines area of Peshawar situated near the Afghan border. Prime Minister Shebaz Sharif has called the explosion a suicide attack. It ripped through the crowded mosque just as afternoon pra",
"<Uploader>:No bilateral issues should be left unresolved, says Anwar on first visit to Singapore as Malaysia PM. <Description>:Malaysian Prime Minister Anwar Ibrahim said talks between Singapore and Malaysia were meaningful, including those involving contentious matters. He added that no issues between the neighbours should be left unresolved. Mr Anwar is on his first official visit to Singapore after taking office last November. Prime Minister Le",
"<Uploader>:France, Australia seeking to mend ties after submarine row. <Description>:France and Australia are mending ties as they move on from hard feelings over a torn-up submarine deal. Their foreign and defence ministers are meeting in Paris. In 2021, then-Australian prime minister Scott Morrison suddenly pulled out of an expensive contract for France to build submarines. He then announced a de",
"<Uploader>:China says it will no longer recognise overseas degrees obtained via online learning. <Description>:Tens of thousands of Chinese students are scrambling to return to their overseas university campuses. Beijing has announced it would no longer recognise degrees obtained through online learning. Under the new rule, those enrolled to study online with overseas institutions have to be on campus for the first term. With the n",
"<Uploader>:US retailers now brace for likely recession after overcoming supply chain disruptions, hiring issues. <Description>:Retailers in the United States, battered from tackling recent supply chain disruptions, rising inflation and hiring challenges, are bracing themselves for another uncertain year ahead with a possible recession looming. CNA’s William Denselow reports.",
